Time;Used;Produced
01:00;0.139;0
01:15;0.139;0
01:30;0.145;0
01:45;0.150;0
02:00;0.182;0
02:15;0.182;0
02:30;0.182;0
02:45;0.182;0
03:00;0.098;0
03:15;0.098;0
03:30;0.098;0
03:45;0.098;0
04:00;0.082;0
04:15;0.082;0
04:30;0.082;0
04:45;0.082;0
05:00;0.075;0
05:15;0.075;0
05:30;0.075;0
05:45;0.075;0
06:00;0.061;0
06:15;0.061;0
06:30;0.061;0
06:45;0.061;0
07:00;0.067;0
07:15;0.067;0
07:30;0.067;0
07:45;0.067;0
08:00;0.044;0.092
08:15;0.044;0.092
08:30;0.044;0.092
08:45;0.044;0.092
09:00;0.319;0.112
09:15;0.319;0.112
09:30;0.319;0.112
09:45;0.319;0.112
10:00;0.349;0.552
10:15;0.349;0.552
10:30;0.349;0.552
10:45;0.349;0.552
11:00;0;1.306
11:15;0;1.306
11:30;0;1.306
11:45;0;1.306
12:00;0;1.343
12:15;0;1.343
12:30;0;1.343
12:45;0;1.343
13:00;0;1.427
13:15;0;1.427
13:30;0;1.427
13:45;0;1.427
14:00;0;1.294
14:15;0;1.294
14:30;0;1.294
14:45;0;1.294
15:00;0.017;0.86
15:15;0.017;0.86
15:30;0.017;0.86
15:45;0.017;0.86
16:00;0.024;0.478
16:15;0.024;0.478
16:30;0.024;0.478
16:45;0.024;0.478
17:00;0;0.247
17:15;0;0.247
17:30;0;0.247
17:45;0;0.247
18:00;0.023;0.018
18:15;0.023;0.018
18:30;0.023;0.018
18:45;0.023;0.018
19:00;0.128;0
19:15;0.128;0
19:30;0.140;0
19:45;0.145;0
20:00;0.152;0
20:15;0.152;0
20:30;0.182;0
20:45;0.230;0
21:00;0.458;0
21:15;0.458;0
21:30;0.478;0
21:45;0.478;0
22:00;0.303;0
22:15;0.303;0
22:30;0.313;0
22:45;0.334;0
23:00;0.313;0
23:15;0.323;0
23:30;0.453;0
23:45;0.560;0
00:00;0.750;0
00:15;0.814;0
00:30;0.850;0
00:45;0.908;0
